answer_id,answer_text,question_id
1,Insect,1
2,Arachnid,1
3,Fish,1
4,Dog,1
5,243,2
6,112,2
7,568,2
8,Broken,2
9,Kettle,3
10,Shoe,3
11,Lamp,3
12,Pint of Lager,3
13,Tims shoe,4
14,Kettle,4
15,Lamp,4
16,Pint of Lager,4
17,Doesnt have one,5
18,Borneo City,5
19,Kuala Lumpor,5
20,Yateley,5
21,Never give up,6
22,Keep on moving,6
23,"Trust Encouragement Reward Loyalty, Satisfaction",6
24,Youre the best,6
25,Team Individuality,7
26,"Trust Encouragement Reward Loyalty, Satisfaction",7
27,Anything Nobby Burton says,7
28,Dead Poets Society,7
29,Mungo Jerry,8
30,4 non-blondes,8
31,Texas,8
32,Foregone Conclusion,8
33,19,9
34,18,9
35,20,9
36,21,9
37,Jelly,10
38,Foxholes,10
39,Mr Toad,10
40,Benefits fraud,10
